"分类","法规名称","文号/标准号","条款号","条文内容","关键词","官方来源URL","发布机关","施行日期","现行状态","备注"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二条","第二条 国家对矿山企业、建筑施工企业和危险化学品、烟花爆竹、民用爆炸物品生产企业(以下统称企业)实行安全生产许可制度。
企业未取得安全生产许可证的，不得从事生产活动。","安全生产,危险化学品,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第三条","第三条 国务院安全生产监督管理部门负责中央管理的非煤矿矿山企业和危险化学品、烟花爆竹生产企业安全生产许可证的颁发和管理。
省、自治区、直辖市人民政府安全生产监督管理部门负责前款规定以外的非煤矿矿山企业和危险化学品、烟花爆竹生产企业安全生产许可证的颁发和管理，并接受国务院安全生产监督管理部门的指导和监督。
国家煤矿安全监察机构负责中央管理的煤矿企业安全生产许可证的颁发和管理。
在省、自治区、直辖市设立的煤矿安全监察机构负责前款规定以外的其他煤矿企业安全生产许可证的颁发和管理，并接受国家煤矿安全监察机构的指导和监督。","安全生产,危险化学品,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第四条","第四条 省、自治区、直辖市人民政府建设主管部门负责建筑施工企业安全生产许可证的颁发和管理，并接受国务院建设主管部门的指导和监督。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第五条","第五条 省、自治区、直辖市人民政府民用爆炸物品行业主管部门负责民用爆炸物品生产企业安全生产许可证的颁发和管理，并接受国务院民用爆炸物品行业主管部门的指导和监督。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第六条","第六条 企业取得安全生产许可证，应当具备下列安全生产条件：
(一)建立、健全安全生产责任制，制定完备的安全生产规章制度和操作规程；
(二)安全投入符合安全生产要求；
(三)设置安全生产管理机构，配备专职安全生产管理人员；
(四)主要负责人和安全生产管理人员经考核合格；
(五)特种作业人员经有关业务主管部门考核合格，取得特种作业操作资格证书；
(六)从业人员经安全生产教育和培训合格；
(七)依法参加工伤保险，为从业人员缴纳保险费；
(八)厂房、作业场所和安全设施、设备、工艺符合有关安全生产法律、法规、标准和规程的要求；
(九)有职业危害防治措施，并为从业人员配备符合国家标准或者行业标准的劳动防护用品；
(十)依法进行安全评价；
(十一)有重大危险源检测、评估、监控措施和应急预案；
(十二)有生产安全事故应急救援预案、应急救援组织或者应急救援人员，配备必要的应急救援器材、设备；
(十三)法律、法规规定的其他条件。","安全生产,事故,许可证,应急,救援,培训,劳动防护,防护用品,作业,责任,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第七条","第七条 企业进行生产前，应当依照本条例的规定向安全生产许可证颁发管理机关申请领取安全生产许可证，并提供本条例第六条规定的相关文件、资料。安全生产许可证颁发管理机关应当自收到申请之日起45日内审查完毕，经审查符合本条例规定的安全生产条件的，颁发安全生产许可证；不符合本条例规定的安全生产条件的，不予颁发安全生产许可证，书面通知企业并说明理由。
煤矿企业应当以矿(井)为单位，依照本条例的规定取得安全生产许可证。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第八条","第八条 安全生产许可证由国务院安全生产监督管理部门规定统一的式样。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第九条","第九条 安全生产许可证的有效期为3年。安全生产许可证有效期满需要延期的，企业应当于期满前3个月向原安全生产许可证颁发管理机关办理延期手续。
企业在安全生产许可证有效期内，严格遵守有关安全生产的法律法规，未发生死亡事故的，安全生产许可证有效期届满时，经原安全生产许可证颁发管理机关同意，不再审查，安全生产许可证有效期延期3年。","安全生产,事故,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十条","第十条 安全生产许可证颁发管理机关应当建立、健全安全生产许可证档案管理制度，并定期向社会公布企业取得安全生产许可证的情况。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十一条","第十一条 煤矿企业安全生产许可证颁发管理机关、建筑施工企业安全生产许可证颁发管理机关、民用爆炸物品生产企业安全生产许可证颁发管理机关，应当每年向同级安全生产监督管理部门通报其安全生产许可证颁发和管理情况。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十二条","第十二条 国务院安全生产监督管理部门和省、自治区、直辖市人民政府安全生产监督管理部门对建筑施工企业、民用爆炸物品生产企业、煤矿企业取得安全生产许可证的情况进行监督。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十三条","第十三条 企业不得转让、冒用安全生产许可证或者使用伪造的安全生产许可证。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十四条","第十四条 企业取得安全生产许可证后，不得降低安全生产条件，并应当加强日常安全生产管理，接受安全生产许可证颁发管理机关的监督检查。
安全生产许可证颁发管理机关应当加强对取得安全生产许可证的企业的监督检查，发现其不再具备本条例规定的安全生产条件的，应当暂扣或者吊销安全生产许可证。","安全生产,许可证,检查,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十五条","第十五条 安全生产许可证颁发管理机关工作人员在安全生产许可证颁发、管理和监督检查工作中，不得索取或者接受企业的财物，不得谋取其他利益。","安全生产,许可证,检查,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十六条","第十六条 监察机关依照《中华人民共和国行政监察法》的规定，对安全生产许可证颁发管理机关及其工作人员履行本条例规定的职责实施监察。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十七条","第十七条 任何单位或者个人对违反本条例规定的行为，有权向安全生产许可证颁发管理机关或者监察机关等有关部门举报。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十八条","第十八条 安全生产许可证颁发管理机关工作人员有下列行为之一的，给予降级或者撤职的行政处分；构成犯罪的，依法追究刑事责任：
(一)向不符合本条例规定的安全生产条件的企业颁发安全生产许可证的；
(二)发现企业未依法取得安全生产许可证擅自从事生产活动，不依法处理的；
(三)发现取得安全生产许可证的企业不再具备本条例规定的安全生产条件，不依法处理的；
(四)接到对违反本条例规定行为的举报后，不及时处理的；
(五)在安全生产许可证颁发、管理和监督检查工作中，索取或者接受企业的财物，或者谋取其他利益的。","安全生产,许可证,检查,责任,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第十九条","第十九条 违反本条例规定，未取得安全生产许可证擅自进行生产的，责令停止生产，没收违法所得，并处10万元以上50万元以下的罚款；造成重大事故或者其他严重后果，构成犯罪的，依法追究刑事责任。","安全生产,事故,许可证,责任,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二十条","第二十条 违反本条例规定，安全生产许可证有效期满未办理延期手续，继续进行生产的，责令停止生产，限期补办延期手续，没收违法所得，并处5万元以上10万元以下的罚款；逾期仍不办理延期手续，继续进行生产的，依照本条例第十九条的规定处罚。","安全生产,许可证,处罚,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二十一条","第二十一条 违反本条例规定，转让安全生产许可证的，没收违法所得，处10万元以上50万元以下的罚款，并吊销其安全生产许可证；构成犯罪的，依法追究刑事责任；接受转让的，依照本条例第十九条的规定处罚。
冒用安全生产许可证或者使用伪造的安全生产许可证的，依照本条例第十九条的规定处罚。","安全生产,许可证,处罚,责任,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二十二条","第二十二条 本条例施行前已经进行生产的企业，应当自本条例施行之日起1年内，依照本条例的规定向安全生产许可证颁发管理机关申请办理安全生产许可证；逾期不办理安全生产许可证，或者经审查不符合本条例规定的安全生产条件，未取得安全生产许可证，继续进行生产的，依照本条例第十九条的规定处罚。","安全生产,许可证,处罚,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二十三条","第二十三条 本条例规定的行政处罚，由安全生产许可证颁发管理机关决定。","安全生产,许可证,处罚,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"其他专项安全","安全生产许可证条例","国务院令第397号","第二十四条","第二十四条 本条例自公布之日起施行。","安全生产,许可证,安全生产许可证条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","国务院","2004-01-13","现行有效","用户提供官网下载文件，按本地原文导入；源文件=安全生产许可证条例_20140729.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex；备注=FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第一条","第一条 为了规范生产安全事故应急工作，保障人民群众生命和财产安全，根据《中华人民共和国安全生产法》和《中华人民共和国突发事件应对法》，制定本条例。","安全生产,事故,应急,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第二条","第二条 本条例适用于生产安全事故应急工作；法律、行政法规另有规定的，适用其规定。","事故,应急,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第三条","第三条 国务院统一领导全国的生产安全事故应急工作，县级以上地方人民政府统一领导本行政区域内的生产安全事故应急工作。生产安全事故应急工作涉及两个以上行政区域的，由有关行政区域共同的上一级人民政府负责，或者由各有关行政区域的上一级人民政府共同负责。
县级以上人民政府应急管理部门和其他对有关行业、领域的安全生产工作实施监督管理的部门(以下统称负有安全生产监督管理职责的部门)在各自职责范围内，做好有关行业、领域的生产安全事故应急工作。
县级以上人民政府应急管理部门指导、协调本级人民政府其他负有安全生产监督管理职责的部门和下级人民政府的生产安全事故应急工作。
乡、镇人民政府以及街道办事处等地方人民政府派出机关应当协助上级人民政府有关部门依法履行生产安全事故应急工作职责。","安全生产,事故,应急,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第四条","第四条 生产经营单位应当加强生产安全事故应急工作，建立、健全生产安全事故应急工作责任制，其主要负责人对本单位的生产安全事故应急工作全面负责。","事故,应急,责任,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第五条","第五条 县级以上人民政府及其负有安全生产监督管理职责的部门和乡、镇人民政府以及街道办事处等地方人民政府派出机关，应当针对可能发生的生产安全事故的特点和危害，进行风险辨识和评估，制定相应的生产安全事故应急救援预案，并依法向社会公布。
生产经营单位应当针对本单位可能发生的生产安全事故的特点和危害，进行风险辨识和评估，制定相应的生产安全事故应急救援预案，并向本单位从业人员公布。","安全生产,事故,风险,应急,救援,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"应急与事故管理","生产安全事故应急条例","国务院令第708号","第六条","第六条 生产安全事故应急救援预案应当符合有关法律、法规、规章和标准的规定，具有科学性、针对性和可操作性，明确规定应急组织体系、职责分工以及应急救援程序和措施。
有下列情形之一的，生产安全事故应急救援预案制定单位应当及时修订相关预案：
(一)制定预案所依据的法律、法规、规章、标准发生重大变化；
(二)应急指挥机构及其职责发生调整；
(三)安全生产面临的风险发生重大变化；
(四)重要应急资源发生重大变化；
(五)在预案演练或者应急救援中发现需要修订预案的重大问题；
(六)其他应当修订的情形。","安全生产,事故,风险,应急,救援,演练,生产安全事故应急条例","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","国务院","2019-04-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=生产安全事故应急条例_20190217.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
